d,p,0,02,100
d,p,0,07,100
d,p,0,11,100
d,p,0,15,100
d,p,0,19,100
d,p,0,22,100
d,p,0,27,100
d,p,0,30,100
d,p,0,34,100
d,p,0,37,100
d,p,0,37,100
d,p,0,35,100
d,p,0,33,100
d,p,0,30,100
d,p,0,27,100
d,p,0,23,100
d,p,0,20,100
d,p,0,17,100
d,p,0,13,100
d,p,0,9,100
d,p,0,5,100
d,p,0,2,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,02,100
d,p,0,07,100
d,p,0,11,100
d,p,0,15,100
d,p,0,19,100
d,p,0,22,100
d,p,0,27,100
d,p,0,30,100
d,p,0,34,100
d,p,0,37,100
d,p,0,37,100
d,p,0,35,100
d,p,0,33,100
d,p,0,30,100
d,p,0,27,100
d,p,0,23,100
d,p,0,20,100
d,p,0,17,100
d,p,0,13,100
d,p,0,9,100
d,p,0,5,100
d,p,0,2,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,02,100
d,p,0,07,100
d,p,0,11,100
d,p,0,15,100
d,p,0,19,100
d,p,0,22,100
d,p,0,27,100
d,p,0,30,100
d,p,0,34,100
d,p,0,37,100
d,p,0,37,100
d,p,0,35,100
d,p,0,33,100
d,p,0,30,100
d,p,0,27,100
d,p,0,23,100
d,p,0,20,100
d,p,0,17,100
d,p,0,13,100
d,p,0,9,100
d,p,0,5,100
d,p,0,2,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,02,100
d,p,0,07,100
d,p,0,11,100
d,p,0,15,100
d,p,0,19,100
d,p,0,22,100
d,p,0,27,100
d,p,0,30,100
d,p,0,34,100
d,p,0,37,100
d,p,0,37,100
d,p,0,35,100
d,p,0,33,100
d,p,0,30,100
d,p,0,27,100
d,p,0,23,100
d,p,0,20,100
d,p,0,17,100
d,p,0,13,100
d,p,0,9,100
d,p,0,5,100
d,p,0,2,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,02,100
d,p,0,07,100
d,p,0,11,100
d,p,0,15,100
d,p,0,19,100
d,p,0,22,100
d,p,0,27,100
d,p,0,30,100
d,p,0,34,100
d,p,0,37,100
d,p,0,37,100
d,p,0,35,100
d,p,0,33,100
d,p,0,30,100
d,p,0,27,100
d,p,0,23,100
d,p,0,20,100
d,p,0,17,100
d,p,0,13,100
d,p,0,9,100
d,p,0,5,100
d,p,0,2,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
d,p,0,0,100
